analysis,n_speakers,k_features,PR,ci_lo,ci_hi,n_parent_dummies
pooled,10551.0,39,12.952727450485437,12.784370768913792,13.067380695341237,
within_sex_male,4744.0,39,13.176710258073866,12.868069658848334,13.342051775222922,
within_sex_female,1571.0,39,13.482218989408988,12.97983957727522,13.69531884126739,
within_sex_mean,,39,13.329464623741426,,,
parent_residual,10551.0,39,13.568657644791356,13.389134412037041,13.707690540979478,26.0
