step,feature,cum_I_corrected,marginal_gain,I_mm,I_null_mean,I_null_p95,perm_p,q_eff_joint,cum_NMI,cum_I_corrected_mmnull
1,F0,0.8439508682376307,0.8439508682376307,1.0446171555257457,0.20066628728811509,0.214352445122641,0.0,4,0.09386073711270232,0.9633590214792811
2,RMS,1.04578014959913,0.20182928136149925,2.0657512568859033,1.0199711072867734,1.0375718780679366,0.0,16,0.1163073579202341,1.3618201790686784
3,CPP,0.7563481791878095,-0.2894319704113204,3.1808642757607295,2.42451609657292,2.43559163653644,0.0,64,0.08411792710239745,1.1586431202487137
4,dCPP,0.4807888986925417,-0.2755592804952678,3.9773549966516306,3.496566097959089,3.5043163977571328,0.0,203,0.05347135967893796,0.8941050414561338
5,HNR,0.21018932532316015,-0.27059957336938156,5.2994866336469215,5.089297308323761,5.095181913757002,0.0,657,0.02337639043994496,0.6037666010271519
6,shimmer,0.0818936558027028,-0.12829566952045734,6.4525336902948585,6.370640034492156,6.3751514875666055,0.0,1672,0.009107874863079478,0.39780516529844334
