feature,b,q_eff,I_raw,I_mm,I_null_mean,I_null_p95,perm_p,I_corrected,NMI_corrected,I_corrected_mmnull,I_null_mm_mean
AMD,1,2,0.25999441330312933,0.22192374413489802,0.0635509705263404,0.06712395962863163,0.0,0.15837277360855762,0.01488052755682796,0.19999084219309018,0.021932901941807838
AMD,2,4,0.49689460365086546,0.3966236009408366,0.19994374811343657,0.20610151245464986,0.0,0.19667985282740003,0.01847981760491723,0.31634279320680475,0.08028080773403183
AMD,3,8,0.7970063577853228,0.6100405458195102,0.5000328193343335,0.5096256125684426,0.0,0.11000772648517665,0.010336202164853737,0.3344083935687706,0.27563215225073956
AMD,4,16,1.255981720352139,0.9788032754907654,1.0226719008553744,1.0325261479650147,0.0,0.0,0.0,0.2733898174121281,0.7054134580786373
AMD,5,32,1.8897597003619673,1.540609189626089,1.7378419901797164,1.7461278924424604,0.0,0.0,0.0,0.1826397760567553,1.3579694135693336
AMD,6,64,2.674411558891629,2.2787997181578366,2.581038683423829,2.58741951721261,0.0,0.0,0.0,0.11374824027914077,2.165051477878696
AMD,7,128,3.5513123621306555,3.1290953514990107,3.4993080443848394,3.50376966751869,0.0,0.0,0.0,0.06394498378709113,3.0651503677119196
AMD,8,256,4.484776176825452,4.049947116996394,4.456898458324783,4.460545014548278,0.0,0.0,0.0,0.03432211082920755,4.015625006167187
AlphaRatio,1,2,0.46972563887777596,0.4407231373142988,0.06277397439843528,0.06627158768089902,0.0,0.3779491629158635,0.03551167795892963,0.4195732248295603,0.021149912484738503
AlphaRatio,2,4,0.8386396473700852,0.763462453290451,0.20009650337410695,0.20709531951026702,0.0,0.5633659499163441,0.05293323057553459,0.6830239392847004,0.08043851400575068
AlphaRatio,3,8,1.1644200554912878,1.0196160112969999,0.4996749363330356,0.5087133598809167,0.0,0.5199410749639642,0.04885307820049416,0.7443962031690925,0.27521980812790736
AlphaRatio,4,16,1.5624084968011633,1.3325252364300972,1.0220871976194366,1.0318165477194619,0.0,0.3104380388106607,0.02916840872300068,0.6278024071658845,0.7047228292642127
AlphaRatio,5,32,2.111991503720933,1.803673805159331,1.7368088723838015,1.7451385622738973,0.0,0.06686493277552952,0.006282553825892915,0.44699027152891846,1.3566835336304126
AlphaRatio,6,64,2.810107090285669,2.4421687955181053,2.581074534029275,2.5875222370910334,0.0,0.0,0.0,0.2770808155851414,2.165087979932964
AlphaRatio,7,128,3.634883883746763,3.230725034465962,3.498815552198883,3.5037512976718816,0.0,0.0,0.0,0.16618350769964074,3.0645415267663214
AlphaRatio,8,256,4.531800951579864,4.107499304717244,4.4565711375155095,4.460320022723854,0.0,0.0,0.0,0.09227953263846356,4.015219772078781
B1,1,2,0.40752129706724816,0.3752354934399804,0.06292751072034271,0.06636183301180179,0.0,0.3123079827196377,0.029344106548032343,0.35392878738922345,0.02130670605075694
B1,2,4,0.71062753030278,0.6260694731837457,0.20009954970916538,0.20635628026406394,0.0,0.42596992347458035,0.04002365457278879,0.5456203560365993,0.08044911714714643
B1,3,8,1.0167355748714648,0.8558016578399865,0.4995445583169835,0.5090316478589789,0.0,0.356257099523003,0.033473516097347646,0.5807455819078269,0.27505607593215964
B1,4,16,1.4337395774219246,1.185667865935578,1.0220418842654575,1.0304320098989925,0.0,0.16362598167012044,0.015374113073711353,0.48101380218294254,0.7046540637526354
B1,5,32,2.018460422363324,1.6939346771058705,1.7374196352755091,1.7448369102032573,0.0,0.0,0.0,0.33651256632483806,1.3574221107810325
B1,6,64,2.7531798590205376,2.3739584706528074,2.580951775582646,2.587738829272291,0.0,0.0,0.0,0.20902399755087941,2.164934473101928
B1,7,128,3.597488977534198,3.185356394669908,3.4991403745781384,3.5034063373775353,0.0,0.0,0.0,0.12041421688143039,3.0649421777884776
B1,8,256,4.512236418719237,4.083791557347549,4.456941929257116,4.46058691104618,0.0,0.0,0.0,0.06811122387946522,4.015680333468084
B2,1,2,0.36851509392044335,0.33487427674304016,0.06263429441361501,0.06616239113927067,0.0,0.27223998232942515,0.025579362328629885,0.3138593538116021,0.02101492293143802
B2,2,4,0.6533882845155503,0.5644524913114637,0.20063506013570667,0.20792147917177228,0.0,0.36381743117575704,0.034183876350149876,0.48347581141340645,0.08097667989805721
B2,3,8,0.9562804053397844,0.7882326671700941,0.5008713312385185,0.5100885786837028,0.0,0.28736133593157565,0.027000147693729923,0.5116317132507333,0.27660095391936074
B2,4,16,1.37690901860889,1.1195606758946912,1.022338701255019,1.0318732839309752,0.0,0.0972219746396723,0.00913486731204599,0.41452067695362027,0.7050399989410709
B2,5,32,1.9763106951902003,1.6437591004434822,1.7376573698080227,1.7455735603983271,0.0,0.0,0.0,0.28604896328086427,1.357710137162618
B2,6,64,2.726542931433432,2.342031778629595,2.5813741606514857,2.5873878093887224,0.0,0.0,0.0,0.17656586792599427,2.1654659107036007
B2,7,128,3.5803428491324496,3.164822732392821,3.4994044724566775,3.504109878555316,0.0,0.0,0.0,0.09955430850816738,3.0652684238846537
B2,8,256,4.496927444049554,4.065121106755415,4.457093134349493,4.4603352734991955,0.0,0.0,0.0,0.049251002424680834,4.015870104330734
B3,1,2,0.3593586064359222,0.32511845634211234,0.06295755308537265,0.06672026674298016,0.0,0.2621609032567397,0.02463234340314685,0.3037798838696233,0.021338572472489038
B3,2,4,0.6384532138521912,0.5488399138730369,0.20042314435998995,0.20705725214691562,0.0,0.3484167695130469,0.032736847514045944,0.4680827065570337,0.08075720731600317
B3,3,8,0.9398371540787362,0.7703301705473624,0.5003724266855042,0.5099245930154914,0.0,0.2699577438618582,0.025364925770918128,0.49433821603196454,0.2759919545153979
B3,4,16,1.3820780605249734,1.1247297178107747,1.0227742017072858,1.0317417817080894,0.0,0.10195551610348885,0.009579625540299333,0.41916744543432227,0.7055622723764524
B3,5,32,1.9819095203131187,1.6493839835192876,1.7370580729864644,1.744557031818546,0.0,0.0,0.0,0.29240134830643316,1.3569826352128544
B3,6,64,2.7331025047633464,2.348956163299931,2.5808841910811164,2.586526242704755,0.0,0.0,0.0,0.18410621236890945,2.1648499509310217
B3,7,128,3.5874528855164662,3.1729750868923254,3.499501412417574,3.5037217131009637,0.0,0.0,0.0,0.1075860103096482,3.0653890765826772
B3,8,256,4.507598064742403,4.078058769349452,4.457154797260546,4.460824269583881,0.0,0.0,0.0,0.062110585597348056,4.015948183752104
B4,1,2,0.38219432711730406,0.34938736443229246,0.06265913574657886,0.06645034879726443,0.0,0.28672822868571357,0.026940661649482424,0.328348642486006,0.021038721946286455
B4,2,4,0.6826998463729268,0.5969431234210809,0.19958608438314365,0.2059012896500966,0.0,0.3973570390379373,0.03733522015544274,0.5170431709954117,0.07989995242566919
B4,3,8,0.9937872648696295,0.8302214945965414,0.49961445347956895,0.5084260839111,0.0,0.3306070411169724,0.031063465479123448,0.5550182616714856,0.2752032329250557
B4,4,16,1.4169133255201913,1.1645159938545646,1.0215465654060554,1.031787957125109,0.0,0.14296942844850924,0.013433246582334456,0.46043490166093537,0.7040810921936292
B4,5,32,2.0144065107336147,1.6871967963287773,1.737110622526215,1.7459907714236687,0.0,0.0,0.0,0.33013998347527584,1.3570568128535014
B4,6,64,2.7606297199207344,2.382059780375185,2.580649117579402,2.5867165878569347,0.0,0.0,0.0,0.217495455374479,2.164564325000706
B4,7,128,3.6050840636900645,3.193993798941264,3.4988426042154623,3.503822991869324,0.0,0.0,0.0,0.1294288682717677,3.0645649306694964
B4,8,256,4.518729249522931,4.09124853240807,4.457011008303928,4.4600894353124625,0.0,0.0,0.0,0.07548113990568339,4.0157673925023865
B5,1,2,0.3519362150914489,0.31733125365721904,0.06304009316744187,0.0666172990330141,0.0,0.2542911604897772,0.02389291123030142,0.29591105313101185,0.0214202005262072
B5,2,4,0.6411652719701912,0.551369566320826,0.19976161733897602,0.20630537650862157,0.0,0.35160794898185,0.033036687145204253,0.47129277804168,0.080076788279146
B5,3,8,0.9501362714189678,0.7809680412751288,0.49980466775543464,0.5109348878877741,0.0,0.2811633735196941,0.02641779412142876,0.5055859292837133,0.2753821119914155
B5,4,16,1.3860120720764861,1.129523641807566,1.0220982395671085,1.0314231855150502,0.0,0.10742540224045749,0.010093569885272748,0.4248048842083557,0.7047187575992103
B5,5,32,1.97896233437171,1.6463846816721048,1.7372311151148319,1.7440571771187425,0.0,0.0,0.0,0.2891835332030952,1.3572011484690096
B5,6,64,2.725287999735592,2.340203571968237,2.581417460296832,2.5870836719395753,0.0,0.0,0.0,0.1746922769830599,2.165511294985177
B5,7,128,3.5882654099589093,3.174048190863642,3.4987416110996854,3.5030702171784376,0.0,0.0,0.0,0.10960353619505936,3.064444654668583
B5,8,256,4.504122383166068,4.073488653751854,4.4573462367775605,4.460653180524421,0.0,0.0,0.0,0.05730199587777207,4.016186657874082
CPP,1,2,0.5440654265274194,0.5179292997815352,0.06342206566642275,0.06687475125251945,0.0,0.4545072341151125,0.04270498816131194,0.4961298628414004,0.02179943694013483
CPP,2,4,0.9462541920742265,0.878868325907872,0.2001383514545446,0.20685991848765023,0.0,0.6787299744533274,0.06377270447672537,0.7983913513555589,0.08047697455231301
CPP,3,8,1.263665178017538,1.1312907773504541,0.4999970539750222,0.5092934466255106,0.0,0.6312937233754319,0.05931564771580815,0.8556911332149151,0.2755996441355391
CPP,4,16,1.6458362575931673,1.4302066974514105,1.0221793821848917,1.0306390379071253,0.0,0.4080273152665188,0.03833778730029063,0.7253701858106105,0.7048365116408
CPP,5,32,2.1635596864086093,1.8661081542009779,1.737467131285332,1.7456994496379579,0.0,0.12864102291564583,0.012086965725347183,0.5086545730511485,1.3574535811498294
CPP,6,64,2.8489201585599595,2.489659162103841,2.580895837771393,2.5868620889823117,0.0,0.0,0.0,0.3247973039030141,2.164861858200827
CPP,7,128,3.6520093484351968,3.251837365946141,3.499434085889459,3.5048165546687904,0.0,0.0,0.0,0.18653502906648045,3.0653023368796606
CPP,8,256,4.54553145271959,4.124825803355407,4.457314854223257,4.460820335419288,0.0,0.0,0.0,0.10868016947819648,4.01614563387721
F0,1,2,0.6316251393719821,0.6106213347125777,0.06301748149290724,0.0666840327053789,0.0,0.5476038532196705,0.051452241710441146,0.5892247423633615,0.021396592349216235
F0,2,4,1.1298164682933436,1.074727084856642,0.20042294774413807,0.20682375950042414,0.0,0.8743041371125039,0.08214863267791067,0.9939472548484711,0.08077983000817074
F0,3,8,1.4986288560590832,1.3875901319229484,0.5004530253781144,0.5097455268685321,0.0,0.887137106544834,0.08335440404203233,1.111463733948806,0.27612639797414235
F0,4,16,1.863368799253644,1.676888369796199,1.0220015030202527,1.0315881328868532,0.0,0.6548868667759462,0.06153243291520922,0.9723116856637342,0.7045766841324648
F0,5,32,2.3352230619947676,2.0682193615726057,1.7371132577398378,1.744394104778467,0.0,0.33110610383276784,0.03111035685019544,0.7111924904487059,1.3570268711238997
F0,6,64,2.960721096002782,2.6251814076721427,2.5816630839195973,2.5884953963238857,0.0,0.043518323752545385,0.004088932719125662,0.45938818355345123,2.1657932241186915
F0,7,128,3.7223621704670364,3.3383000450696336,3.498805637324923,3.503303075417756,0.0,0.0,0.0,0.27378937308582607,3.0645106719838076
F0,8,256,4.581162675335046,4.168721960267552,4.4572903297108075,4.4602346791727,0.0,0.0,0.0,0.15261915335864185,4.01610280690891
F1,1,2,0.3575445598228342,0.3236952790223331,0.06265299331312435,0.06584852847252813,0.0,0.26104228570920873,0.024527239357405202,0.30266152690162124,0.02103375212071186
F1,2,4,0.6770732373215473,0.5887628349867544,0.20023834769603113,0.20703743515821005,0.0,0.3885244872907233,0.03650532353447186,0.508162281745592,0.08060055324116246
F1,3,8,1.0217934595574256,0.858931254012294,0.5000885489096738,0.5104541245751271,0.0,0.3588427051026202,0.03371645668746245,0.5832388120444587,0.2756924419678352
F1,4,16,1.4710398559804556,1.2253915341126191,1.0223268991828158,1.03285803352416,0.0,0.2030646349298033,0.019079724545070863,0.5203882225887583,0.7050033115238609
F1,5,32,2.0638481205645434,1.7450811828951647,1.7365131082412644,1.7446043919577163,0.0,0.008568074653900304,0.0008050466509568876,0.3887748445100625,1.3563063383851022
F1,6,64,2.7917794711558415,2.4194634403032236,2.5812900940473393,2.587406837655725,0.0,0.0,0.0,0.2541118234291182,2.1653516168741054
F1,7,128,3.6284502691651426,3.2224413052293492,3.499071074236553,3.5039886091092356,0.0,0.0,0.0,0.15759005588335295,3.0648512493459963
F1,8,256,4.530158648110666,4.105622479672061,4.457038862486839,4.46043613536565,0.0,0.0,0.0,0.08981720067489984,4.015805278997161
F2,1,2,0.3453796272171772,0.3107486078300603,0.06308513121411369,0.06629402961962239,0.0,0.24766347661594662,0.023270181513094835,0.28928323896741687,0.02146536886264342
F2,2,4,0.6337933716645185,0.5431638115227617,0.2003949414284888,0.20712173638139458,0.0,0.3427688700942729,0.03220617724147128,0.4623936355726979,0.0807701759500638
F2,3,8,0.9628728673859239,0.7941736803940547,0.49973441662265594,0.5087243696021337,0.0,0.29443926377139873,0.02766518182722341,0.5188924376300605,0.2752812427639942
F2,4,16,1.4052626239514048,1.15023343904417,1.0219417104879605,1.0315250054626701,0.0,0.12829172855620952,0.01205414642047169,0.445703522385688,0.704529916658482
F2,5,32,2.0052319921893584,1.6754164824957982,1.7373273344187072,1.7457377846231203,0.0,0.0,0.0,0.3181112973370466,1.3573051851587516
F2,6,64,2.7566841396503943,2.3766810126960465,2.581423894411763,2.5877825032740382,0.0,0.0,0.0,0.2111477791139702,2.1655332335820763
F2,7,128,3.6035348570176087,3.191428332106206,3.4990050362417495,3.5034988998180636,0.0,0.0,0.0,0.1266621430606203,3.0647661890455855
F2,8,256,4.5170759540430225,4.088839556294431,4.457210180406945,4.461034700289276,0.0,0.0,0.0,0.07282439360689086,4.01601516268754
F3,1,2,0.3842099674957602,0.35093396165877877,0.06266652229284053,0.06602861769100539,0.0,0.28826743936593824,0.027085284152586767,0.32988824403552397,0.021045717623254818
F3,2,4,0.6932956537875583,0.6069917138250815,0.200477944347914,0.20735128466166905,0.0,0.40651376947716755,0.03819557624144645,0.5261569058123781,0.08083480801270346
F3,3,8,1.021240403001336,0.8600719643938728,0.5001551488474665,0.5077921443194235,0.0,0.3599168155464063,0.03381737889582979,0.584269926865981,0.27580203752789173
F3,4,16,1.4568827064761063,1.2108174573620758,1.0219454649522957,1.0320262351301974,0.0,0.18887199240978014,0.017746199827966325,0.5062715390014018,0.704545918360674
F3,5,32,2.041295465821399,1.7197403271930884,1.7367042885154527,1.7450842212285131,0.0,0.0,0.0,0.3631880868327342,1.3565522403603543
F3,6,64,2.771962629141086,2.3959463689784837,2.5808427650990917,2.5874376684165057,0.0,0.0,0.0,0.23114058011453986,2.164805788863944
F3,7,128,3.6137376018631677,3.2045756256280207,3.4992729707743977,3.503529628692204,0.0,0.0,0.0,0.13947205760534276,3.065103568022678
F3,8,256,4.524789690949488,4.098559755573213,4.4568253455817555,4.4599582756686065,0.0,0.0,0.0,0.08302167286408402,4.015538082709129
F4,1,2,0.42920154681119627,0.3976453658647703,0.06284622190430808,0.06655907685298468,0.0,0.3347991439604622,0.03145735074400988,0.3764211212379279,0.021224244626842345
F4,2,4,0.7604173161506402,0.6795334303887053,0.20055014136158408,0.2070568273750646,0.0,0.4789832890271212,0.045004730732600084,0.5986053184204931,0.0809281119682122
F4,3,8,1.0713142424847604,0.9173899147799442,0.49926189964472534,0.5087788708247085,0.0,0.4181280151352189,0.039286837691432604,0.642640470836699,0.2747494439432453
F4,4,16,1.485252662453231,1.2441644823406595,1.022601117865546,1.0321773418413176,0.0,0.22156336447511338,0.020817844352492232,0.5388293640581879,0.7053351182824715
F4,5,32,2.0599508894654743,1.742591081252007,1.7371265833550324,1.7468196957604318,0.0,0.005464497896974452,0.000513438072008123,0.3855381116138823,1.3570529696381246
F4,6,64,2.781435897478982,2.4074521576415826,2.581231555752487,2.5878165314427517,0.0,0.0,0.0,0.24216898108442653,2.165283176557156
F4,7,128,3.6227253742104146,3.215257164912938,3.498616094044676,3.503469385897669,0.0,0.0,0.0,0.1509649972806022,3.0642921676323356
F4,8,256,4.531795235268206,4.106633675960307,4.457031106232957,4.460475477011582,0.0,0.0,0.0,0.09084071335878274,4.015792962601524
F5,1,2,0.4234354979858459,0.391670853416322,0.06283618310024386,0.06587079785615665,0.0,0.32883467031607816,0.03089693551350694,0.3704540417982551,0.021216811618066947
