step,feature,cum_I_corrected,marginal_gain,I_mm,I_null_mean,I_null_p95,perm_p,q_eff_joint,cum_NMI,cum_I_corrected_mmnull
1,RMS,0.6735905533898083,0.6735905533898083,0.8730397311919145,0.19944917780210616,0.21401436079918684,0.0,4,0.08018095706512203,0.7929778808059813
2,F0,0.8538796846705725,0.18028913128076418,1.8695197140620312,1.0156400293914587,1.033910001917564,0.0,16,0.10164170205595258,1.168610330627181
3,SpectralRolloff,0.5666851830334791,-0.28719450163709337,3.0969198123092756,2.5302346292757965,2.5432478757616557,0.0,64,0.06745545955415665,0.9738689848086284
4,SpectralEntropy,0.31799927992444577,-0.24868590310903338,4.161840078019129,3.843840798094683,3.853095343645732,0.0,227,0.03785309411191558,0.7288683627646835
5,SpectralKurtosis,0.1761411618469486,-0.14185811807749715,5.127535696435126,4.951394534588178,4.959085733675457,0.0,617,0.020966990799346604,0.5476937999140121
6,SpectralSkewness,0.1344894811059083,-0.04165168074104031,5.8156908310637405,5.681201349957832,5.6881511950178725,0.0,1122,0.01600897645609193,0.4466067148337203
