step,feature,cum_I_corrected,marginal_gain,I_mm,I_null_mean,I_null_p95,perm_p,q_eff_joint,cum_NMI,cum_I_corrected_mmnull
1,RMS,0.6718020713501501,0.6718020713501501,0.8717403004662145,0.19993822911606443,0.21066403022620026,0.0,4,0.06804130997192637,0.7914095791244716
2,AlphaRatio,0.8597979130866364,0.1879958417364863,1.8793009717890499,1.0195030587024134,1.030882568004471,0.0,16,0.08708186356134576,1.1769913826557166
3,LHR,0.5881574176771633,-0.2716404954094731,2.9079286133466535,2.31977119566949,2.329413497382129,0.0,64,0.059569630513391675,0.9868515536167466
4,SpectralEntropy,0.2983401147860074,-0.2898173028911559,4.066836269444048,3.7684961546580404,3.7748467714754086,0.0,254,0.030216418038750793,0.7199269650747699
5,SpectralSkewness,0.15455263257714247,-0.14378748220886495,5.016529350589639,4.861976718012497,4.866465736203935,0.0,777,0.015653365818036558,0.5612803091653253
6,SpectralKurtosis,0.0962470335577672,-0.058305599019375265,5.786080098859825,5.689833065302058,5.6940093428855425,0.0,1584,0.009748070932590426,0.47093961463284373
