step,feature,n_joint_bins,N,cumulative_I_corrected,marginal_gain,noise_floor,I_raw,I_mm,I_null_mean,I_null_p95,added
1,F0,4,6300,1.3050590601916192,1.3050590601916192,0.012087706584315489,1.5924670975117063,1.5515907380198524,0.24653167782823318,0.25861938441254867,True
2,F5,16,6300,1.5236414778151777,0.21858241762355846,0.01529741456979683,2.6074703860539774,2.49697826585891,0.9733367880437324,0.9886342026135292,True
3,CPP,47,6300,1.296731550518502,-0.2269099272966757,0.01345075078680491,3.245548993405782,3.0671586066037975,1.7704270560852955,1.7838778068721004,False
