q,n_speakers,k,occupied_cells,observed_pairs,observed_speakers_in_collision,pred_pairs_independence,pred_pairs_deff,ratio_obs_over_indep,ratio_obs_over_deff
2,629,40,624,5,10,1.7963066056836396e-07,4566.073061107239,27834891.795084707,0.0010950328505666832
3,629,40,629,0,0,1.624538861224098e-14,504.1065097897627,0.0,0.0
