feature,within_var,between_var,F_ratio,ANOVA_F,p,q_max
F0,52.72224592902845,1859.8034285026881,35.2754970075866,352.7549700758658,0.0,5
jitter,1.1071884789414344e-05,9.391589480339498e-06,0.8482376450772546,8.482376450772556,0.0,0
shimmer,0.00016995024526706665,0.000259792022482853,1.528635760864042,15.286357608640419,0.0,2
HNR,1.8226896246410924,7.03462085756025,3.859472705862055,38.59472705862031,0.0,2
CPP,0.03180569799973076,0.3574149762535657,11.237451108810482,112.3745110881034,0.0,3
dCPP,0.002748279803462753,0.024573872265962835,8.94154672133473,89.41546721334608,0.0,3
NAQ,0.0003364374477045524,0.001142496120880238,3.395864903491772,33.8982341338392,0.0,2
CQ,0.000143353117875367,0.00029447370652589786,2.0541841774374032,20.500637035003045,0.0,2
GCT,8.234350704708025e-09,4.8514142118668766e-08,5.891677906180338,58.9217506608214,0.0,3
MFDR,8585.900060841888,17102.910657928995,1.99197644239199,19.936321934188665,0.0,2
SQ,0.20686111492378637,0.16714123900511915,0.8079877122710996,7.901779324796018,0.0,0
SHR,0.006029985245039547,0.02318423040422671,3.8448237370562026,38.44823737056201,0.0,2
IHI,0.00021345369630078586,0.00022924396380661504,1.0739751420541273,10.739751420541285,0.0,0
SPI,6.379655659611339,5.029807619442482,0.7884136523677059,7.88413652367706,0.0,0
GNE,0.0010523885643976326,0.00046117899391177956,0.43822121364056227,4.382212136405622,6.0028387056444705e-199,0
F1,1411.3252444018417,1674.8338775389734,1.1867100685560357,11.867100685560377,0.0,0
F2,12626.20114071863,17695.52236923716,1.4014921964271831,14.014921964271846,0.0,0
F3,10237.085590464289,35872.99075280921,3.504219090072318,35.04219090072339,0.0,2
F4,6148.371160378009,79921.79602607863,12.998856760814835,129.9885676081482,0.0,3
F5,7696.958237652282,81480.45750275932,10.586059451923491,105.86059451923575,0.0,3
B1,1426.8075231301884,1676.027763339032,1.1746698389016719,11.746698389016679,0.0,0
B2,4303.42013598535,6222.740024325167,1.4459987237338034,14.459987237338042,0.0,0
B3,6231.89609992172,8616.806725619517,1.3826942213827593,13.826942213827644,0.0,0
B4,10697.114056104561,18514.90233574371,1.7308315344340695,17.30831534434075,0.0,2
B5,21399.810492625213,27485.079283015148,1.2843608728445066,12.843608728445078,0.0,0
VTLE,0.21428686249762527,1.3127461538114964,6.1261158920838845,61.26115892083891,0.0,2
spectral_skewness,0.10071837734517775,0.11010479038239086,1.0931946411829532,10.931946411829516,0.0,0
spectral_kurtosis,5.4415632456776954,5.701811711807462,1.0478260482107757,10.478260482107762,0.0,0
spectral_entropy,0.00038625061891131454,0.0008427306265343603,2.1818233687487147,21.818233687487176,0.0,2
spectral_rolloff,128664.9822014692,176412.96374266947,1.371103160504343,13.711031605043445,0.0,0
spectral_flux,0.001340122187623386,0.0006328280104381497,0.47221665030442217,4.72216650304422,4.7388661094669654e-223,0
alpha_ratio,2.168318114044676,3.1170204089138,1.437529110108046,14.375291101080458,0.0,0
LHR,7.972808476089307,7.787356221277544,0.9767394067764276,9.767394067764288,0.0,0
RMS,1.1274245810763167e-05,4.133366780136013e-05,3.666202466678541,36.662024666785406,0.0,2
AMD,0.021571579080131284,0.006815190388437524,0.31593377393102956,3.1593377393103013,1.4809488271310284e-112,0
VOT,317.7712137162837,58.14356996388966,0.1829730556267507,1.6383524096434545,6.055981788462439e-19,0
speech_rate,0.38858777109371306,0.2806957664161732,0.7223484301272047,7.223484301272043,0.0,0
BGD,0.6347778718635689,0.10070179221616365,0.15864099345575047,1.586409934557504,6.566892928914481e-17,0
semitone_SD_F0,0.5722091105990964,0.4134220452146576,0.7225016826135631,7.225016826135645,0.0,0
SSPF,601787.5038724523,976804.7783325806,1.6231722527419121,15.316357842242482,0.0,2
