,P_correct,logloss_bits,logloss_nats,fano_Ilower,xent_Ilower,P_correct_ci,fano_ci,xent_ci,logloss_ci,fold_acc_mean,fold_acc_std,fold_ll_mean,fold_ll_std
logreg,0.6480635551142006,2.5364984775878563,1.7581667682346163,5.090014838785395,6.760417729291432,"(0.6355511420059583, 0.6609731876861966)","(4.963188070727661, 5.2219061773841275)","(6.697207208048773, 6.828900895605959)","(2.46801531127333, 2.5997089988305158)",0.6498031492153806,0.019528223478360317,2.5153432240708,0.16057623159723725
mlp,0.5402184707050646,2.96768044372275,2.0570393323693117,4.028093502380796,6.329235763156538,"(0.5267130089374379, 0.553922542204568)","(3.899953070827494, 4.159201428178015)","(6.227280663315019, 6.432317276479663)","(2.8645989303996258, 3.069635543564269)",0.5416348581620263,0.011756210398927207,2.9378813165520024,0.22278036462185416
lda,0.7590863952333664,2.246257455243706,1.5569870219139321,6.2611593432493855,7.0506587516355825,"(0.7471648460774577, 0.7710079443892751)","(6.131168452385108, 6.392271811622479)","(6.9026920953825135, 7.212539806025312)","(2.0843764008539765, 2.394224111496775)",0.7608097853206933,0.0140058618182605,2.240668006292985,0.2512975456170
