estimator,stratum,n_speakers,k,d_eff,ci_lo,ci_hi,n_boot
PR_pearson,pooled,629,40,5.434798726996542,5.16572526444996,5.656273809161622,1000
PR_spearman,pooled,629,40,5.89544454076112,5.5205974841115735,6.355704783456571,1000
PR_pearson,sex=M,437,40,11.450417692908166,10.63644797138511,11.752475336639609,1000
PR_spearman,sex=M,437,40,11.81656825196225,11.032977635816303,12.160151027290308,1000
PR_pearson,sex=F,192,40,11.602132089880186,10.184843241617685,11.915588709571624,1000
PR_spearman,sex=F,192,40,12.0846109575837,10.78202907344263,12.371831993391655,1000
