classifier,label,S,chance,ceiling_bits,top1_acc,acc_ci_lo,acc_ci_hi,fold_acc_mean,fold_acc_std,logloss_bits,logloss_nats,fold_logloss_bits_mean,fold_logloss_bits_std,fano_lower_bits,fano_ci_lo,fano_ci_hi,xent_lower_bits,xent_ci_lo,xent_ci_hi
logreg,A: multinomial logreg (L2),1599,0.0006253908692933083,10.642954223480332,0.5514696685428393,0.544276110068793,0.5589759224515323,0.5514696685428394,0.006889525630479226,3.7271564568488187,2.583467989570554,3.7271564568488187,0.03833683040771209,4.877328571482882,4.79878088866231,4.959612440709069,6.915797766631513,6.863962311359371,6.970254598933765
mlp,B: small MLP,1599,0.0006253908692933083,10.642954223480332,0.5103189493433395,0.5030612883051907,0.5178924327704816,0.5103189493433395,0.00988434176366747,4.5499286524944464,3.1537702172254365,4.5499286524944464,0.198473704655679,4.432050429559112,4.354533807069432,4.5132644994568,6.093025570985886,5.988240489913906,6.197318244052302
lda,C: shrinkage-LDA (Ledoit-Wolf),1599,0.0006253908692933083,10.642954223480332,0.518136335209506,0.5102548467792369,0.5255816135084428,0.5181363352095059,0.0057352127670346,5.114484931527555,3.5450908103046492,5.114484931527555,0.15875005421678676,4.515885483772114,4.43136444114852,4.596058310081579,5.528469291952778,5.400934270767891,5.662243093721843
