seed,S,logreg_acc,mlp_acc,lda_acc,best_acc,best_xent
1234,630,0.6261904761904762,0.5665079365079365,0.6079365079365079,0.6261904761904762,6.367152207923629
1,630,0.6101587301587301,0.5606349206349206,0.583015873015873,0.6101587301587301,6.321341567110807
2,630,0.63,0.5857142857142857,0.6057142857142858,0.63,6.36382244502629
3,630,0.6436507936507937,0.5942857142857143,0.6180952380952381,0.6436507936507937,6.506202581719933
4,630,0.616984126984127,0.5707936507936507,0.5939682539682539,0.616984126984127,6.3874465741613236
5,630,0.6139682539682539,0.5696825396825397,0.5901587301587301,0.6139682539682539,6.29681881439672
6,630,0.6274603174603175,0.5701587301587302,0.5934920634920635,0.6274603174603175,6.413973299885871
7,630,0.6153968253968254,0.5677777777777778,0.5961904761904762,0.6153968253968254,6.325731360145327
