corpus,session_type,S,log2S_ceiling,top1_A_logreg,top1_B_mlp,top1_C_lda,fano_lower_logreg,xent_lower_best,xent_best_clf,n_features_95,regime
CV (full),multi-session+mp3,1599,10.642954223480332,0.5514696685428393,0.5103189493433395,0.518136335209506,4.877328571482882,6.915797766631513,logreg,18,bound/classifier-limited
CV (matched to TIMIT),multi-session+mp3,630,9.29920801838728,0.6261904761904762,0.5665079365079365,0.6079365079365079,4.870379899006425,6.367152207923629,logreg,17,bound/classifier-limited
TIMIT (matched),single-session clean,630,9.29920801838728,0.6106349206349206,0.5349206349206349,0.6271428571428571,4.71492491229454,6.642531975933887,lda,17,bound/classifier-limited
