bin_lo,bin_hi,n,mean_conf,accuracy,gap
0.0,0.1,3203,0.06981133946319919,0.21136434592569467,0.14155300646249547
0.1,0.2,4276,0.14583004863707302,0.3907857811038354,0.24495573246676236
0.2,0.30000000000000004,2472,0.24588132780473057,0.5833333333333334,0.33745200552860277
0.30000000000000004,0.4,1672,0.34643153113114045,0.7015550239234449,0.3551234927923045
0.4,0.5,1218,0.4477893588170376,0.8111658456486043,0.3633764868315667
0.5,0.6000000000000001,961,0.5479590025341993,0.8355879292403746,0.28762892670617535
0.6000000000000001,0.7000000000000001,755,0.6492491651205841,0.9218543046357616,0.2726051395151775
0.7000000000000001,0.8,625,0.7499448641136623,0.9488,0.19885513588633763
0.8,0.9,500,0.8470978170047962,0.958,0.11090218299520371
0.9,1.0,308,0.9412892671087799,0.961038961038961,0.01974969393018111
