feature,b,q_eff,N,I_raw,I_mm,I_null_mean,perm_p,I_corrected,NMI_corrected
F0,1,2,53366,0.6887189259087574,0.6511950342923711,0.16754707847907369,0.0,0.48364795581329745,0.03614145379943532
F0,2,4,53366,1.2899399565371557,1.1988426286504854,0.5369065099693141,0.0,0.6619361186811713,0.04946435390440936
F0,3,8,53366,1.8282745322884786,1.6647153372954104,1.141341133394551,0.0,0.5233742039008595,0.039110068351867706
F0,4,16,53366,2.4143834622232596,2.1756734221228182,1.91893191191911,0.0,0.2567415102037083,0.0191854660355611
F0,5,32,53366,3.112826212958449,2.8126819263340046,2.8008673139757274,0.0,0.011814612358277188,0.0008828679240189867
F0,6,64,53366,3.9193084153744024,3.576796329027287,3.7400935552576264,0.0,0.0,0.0
F0,7,128,53366,4.808903563309652,4.441487980354211,4.709436518342922,0.0,0.0,0.0
F0,8,256,53366,5.747644334170259,5.366896292345878,5.693865676095046,0.0,0.0,0.0
jitter,1,2,53370,0.4503162598807915,0.38527972250024156,0.16763367208381158,0.0,0.21764605041642998,0.016263988260898393
jitter,2,4,53370,0.8894584256530891,0.7403390702099557,0.5369442564477042,0.0,0.20339481376225155,0.015199039252159818
jitter,3,8,53370,1.421755067883426,1.186697919672822,1.140947234163358,0.0,0.04575068550946404,0.003418801354907594
jitter,4,16,53370,2.104883452248572,1.803712382359123,1.918793890123389,0.0,0.0,0.0
jitter,5,32,53370,2.9130282974465818,2.569164703667303,2.800880053381046,0.0,0.0,0.0
jitter,6,64,53370,3.8031412032073,3.4338419714291497,3.7399622192059514,0.0,0.0,0.0
jitter,7,128,53370,4.743238147336484,4.360242082131311,4.709198844534865,0.0,0.0,0.0
jitter,8,256,53370,5.712129020234013,5.322846651862271,5.693804449502616,0.0,0.0,0.0
shimmer,1,2,53368,0.5318113921695957,0.47619754117274304,0.16750758779277974,0.0,0.3086899533799633,0.023067405856541094
shimmer,2,4,53368,1.0013805972023029,0.8694663414685291,0.5366419438597473,0.0,0.3328243976087818,0.024870895131305255
shimmer,3,8,53368,1.5199499705647206,1.3031346505227468,1.141356996403496,0.0,0.16177765411925082,0.012089122970239537
shimmer,4,16,53368,2.1680847510148986,1.8804217319772736,1.9184944701718019,0.0,0.0,0.0
shimmer,5,32,53368,2.949361810081463,2.613626912764719,2.801198121646599,0.0,0.0,0.0
shimmer,6,64,53368,3.82101334438517,3.456038078308122,3.7400464811136076,0.0,0.0,0.0
shimmer,7,128,53368,4.75537505003496,4.375334576342862,4.7093855406893175,0.0,0.0,0.0
shimmer,8,256,53368,5.718250831923044,5.330462269488624,5.693831348289768,0.0,0.0,0.0
GCT,1,2,53359,0.6157036531156006,0.5694790237184986,0.16726172936307368,0.0,0.40221729435542486,0.03005640277510461
GCT,2,4,53359,1.1235957526600533,1.009603736317917,0.5375520156927838,0.0,0.47205172062513334,0.03527490449789706
GCT,3,8,53359,1.6379268921819872,1.4430675432436608,1.1408676848144004,0.0,0.30219985842926045,0.022582421966925892
GCT,4,16,53359,2.2527391812463335,1.9834125446901734,1.9169953530205013,0.0,0.06641719166967208,0.004963142788810474
GCT,5,32,53359,2.989419399817315,2.6665029283691997,2.7872929494407157,0.0,0.0,0.0
GCT,6,64,53359,3.8027908024168635,3.4470776143886006,3.686879776707218,0.0,0.0,0.0
GCT,7,111,53359,4.391110151859916,4.022147090333274,4.312988731058499,0.0,0.0,0.0
GCT,8,175,53359,4.908244671123935,4.531438509089412,4.85375530388686,0.0,0.0,0.0
CQ,1,2,53359,0.5165041369566925,0.45870695185202237,0.16784164837088078,0.0,0.2908653034811416,0.021735427186795497
CQ,2,4,53359,0.9957611227559244,0.8630000140394927,0.5373897305745076,0.0,0.3256102834649851,0.024331807619618284
CQ,3,8,53359,1.516700512083279,1.2998392515649009,1.141213447045842,0.0,0.15862580451905894,0.011853595402431359
CQ,4,16,53359,2.168865279622306,1.8815941538515801,1.9183016810562026,0.0,0.0,0.0
CQ,5,32,53359,2.9281792450566453,2.594046296538119,2.777871019338828,0.0,0.0,0.0
CQ,6,63,53359,3.788301267208624,3.425869437526657,3.7002817319975145,0.0,0.0,0.0
CQ,7,126,53359,4.700789311064998,4.3223714246728235,4.651269148409833,0.0,0.0,0.0
CQ,8,251,53359,5.642924290940048,5.256166668046063,5.617018358677004,0.0,0.0,0.0
MFDR,1,2,53359,0.3498619771731022,0.2741015618729641,0.16783807376032417,0.0,0.10626348811263991,0.007940728168139666
