classifier,label,S,N,chance,ceiling_bits,top1_acc,acc_ci_lo,acc_ci_hi,fold_acc_mean,fold_acc_std,logloss_bits,logloss_nats,fold_logloss_bits_mean,fold_logloss_bits_std,fano_lower_bits,fano_ci_lo,fano_ci_hi,xent_lower_bits,xent_ci_lo,xent_ci_hi
logreg,A: multinomial logreg (L2),5095,50950,0.00019627085377821394,12.314866431053176,0.54747791952895,0.5434739941118744,0.5520711481844947,0.54747791952895,0.004636480917443795,3.863740280290246,2.6781406816990767,3.8637402802902456,0.026556429465943054,5.7487595210713245,5.69839917351579,5.806646960879138,8.45112615076293,8.41872011804169,8.483453309093097
mlp,B: small MLP,5095,50950,0.00019627085377821394,12.314866431053176,0.5343081452404318,0.5298518155053975,0.5386462217860648,0.5343081452404318,0.005927119817005426,4.33270199994421,3.0032001754677657,4.33270199994421,0.0826921275320017,5.583464234517917,5.527760266022476,5.637800643293682,7.9821644311089655,7.920148491880829,8.038672168624553
lda,C: shrinkage-LDA (Ledoit-Wolf),5095,50950,0.00019627085377821394,12.314866431053176,0.5227870461236507,0.5183493621197252,0.5272438665358194,0.5227870461236506,0.0036951083334998713,5.835974357006027,4.045189171378867,5.835974357006026,0.09847694414890461,5.439686541641242,5.384511283056434,5.495214350556195,6.478892074047149,6.397034075151791,6.563824504777638
