bin_lo,bin_hi,n,mean_conf,accuracy,gap
0.0,0.1,46,0.09035127870130447,0.06521739130434782,-0.025133887396956642
0.1,0.2,1447,0.16450611757591724,0.07394609536973047,-0.09056002220618677
0.2,0.30000000000000004,3689,0.25421790678721135,0.13933315261588505,-0.11488475417132629
0.30000000000000004,0.4,4580,0.3508908959418659,0.1906113537117904,-0.1602795422300755
0.4,0.5,4646,0.44961408353830806,0.2524752475247525,-0.19713883601355559
0.5,0.6000000000000001,4400,0.5493230916658126,0.32431818181818184,-0.22500490984763077
0.6000000000000001,0.7000000000000001,3870,0.6492138414176613,0.3764857881136951,-0.27272805330396616
0.7000000000000001,0.8,4025,0.7507009104849058,0.47801242236024843,-0.2726884881246574
0.8,0.9,4640,0.8528749458732832,0.5859913793103448,-0.2668835665629383
0.9,1.0,19607,0.9785300564288593,0.838425052277248,-0.1401050041516113
